               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030219,            0.021679,             0.01026,             0.99644,              0.9913,             0.99428,             0.83711,            0.026799,            0.019586,            0.009352,            0.006436,            0.006436,            0.006436
                  38,            0.029872,            0.021763,            0.010086,             0.99463,              0.9919,             0.99399,             0.80803,            0.028721,              0.0202,           0.0093458,            0.006337,            0.006337,            0.006337
                  39,            0.030195,            0.021759,           0.0099408,             0.99579,             0.98913,             0.99396,             0.81073,            0.028133,             0.02075,           0.0093094,            0.006238,            0.006238,            0.006238
                  40,            0.030471,            0.021717,            0.010303,             0.99639,             0.99258,             0.99424,             0.81326,            0.028687,            0.020994,           0.0094324,            0.006139,            0.006139,            0.006139
                  41,            0.029953,            0.021832,            0.010168,             0.99678,             0.99243,             0.99452,             0.81545,            0.027319,            0.020171,           0.0092989,             0.00604,             0.00604,             0.00604
                  42,            0.028864,            0.021104,             0.01004,             0.99471,             0.99114,             0.99401,             0.81915,            0.027621,            0.020708,           0.0093565,            0.005941,            0.005941,            0.005941
                  43,             0.02922,            0.021222,           0.0099557,             0.99587,             0.99062,             0.99436,             0.81598,            0.027823,            0.020431,           0.0093182,            0.005842,            0.005842,            0.005842
                  44,              0.0295,            0.021369,           0.0098758,             0.99545,             0.99014,             0.99431,              0.8314,            0.026927,            0.020274,           0.0092222,            0.005743,            0.005743,            0.005743
                  45,            0.029011,            0.021202,           0.0098948,             0.99539,             0.99397,             0.99446,             0.82772,            0.027657,            0.020353,           0.0092127,            0.005644,            0.005644,            0.005644
                  46,            0.029021,            0.020954,           0.0099439,             0.99501,             0.99045,             0.99367,             0.82345,             0.02717,            0.020139,            0.009197,            0.005545,            0.005545,            0.005545
                  47,            0.028415,            0.021055,           0.0098507,             0.99711,             0.98762,             0.99334,             0.82314,            0.026968,            0.020428,           0.0091977,            0.005446,            0.005446,            0.005446
                  48,            0.028141,            0.020794,           0.0097678,             0.99601,             0.98629,             0.99387,             0.83169,            0.027189,            0.020601,           0.0092089,            0.005347,            0.005347,            0.005347
                  49,             0.02866,            0.020494,            0.010047,             0.99672,             0.99101,             0.99428,             0.83798,            0.026767,            0.020044,            0.009117,            0.005248,            0.005248,            0.005248
                  50,            0.028176,            0.021125,           0.0098089,             0.99546,             0.99065,             0.99405,             0.83527,            0.027111,            0.020136,           0.0090981,            0.005149,            0.005149,            0.005149
                  51,            0.028538,            0.020865,           0.0098447,             0.99679,             0.98719,             0.99367,             0.84405,            0.026009,            0.019338,           0.0091097,             0.00505,             0.00505,             0.00505
                  52,            0.027644,            0.020289,           0.0097689,             0.99622,             0.98731,             0.99429,             0.83721,            0.026551,            0.019292,           0.0090319,            0.004951,            0.004951,            0.004951
                  53,             0.02743,            0.020468,           0.0095612,              0.9951,             0.99064,             0.99439,             0.84891,             0.02585,            0.019154,           0.0090075,            0.004852,            0.004852,            0.004852
                  54,            0.028171,            0.020277,           0.0097221,             0.99589,             0.99085,              0.9942,             0.84863,            0.025964,            0.018713,           0.0089472,            0.004753,            0.004753,            0.004753
                  55,            0.027273,            0.020373,           0.0096138,             0.99567,             0.98692,             0.99391,             0.84688,            0.025673,            0.019218,           0.0089745,            0.004654,            0.004654,            0.004654
                  56,            0.027515,            0.020417,           0.0095916,             0.99375,             0.98666,             0.99377,             0.83607,            0.026733,            0.020043,           0.0090505,            0.004555,            0.004555,            0.004555
                  57,            0.027318,             0.02036,           0.0097083,              0.9966,             0.98605,              0.9931,              0.8421,            0.025646,            0.019409,           0.0089696,            0.004456,            0.004456,            0.004456
                  58,            0.026871,            0.020542,           0.0094191,             0.99623,             0.98948,             0.99391,             0.84408,             0.02586,            0.018689,           0.0088369,            0.004357,            0.004357,            0.004357
                  59,            0.027007,            0.020413,           0.0095553,              0.9948,             0.99227,             0.99442,             0.84419,            0.025652,            0.018698,           0.0088635,            0.004258,            0.004258,            0.004258
                  60,            0.026481,            0.019781,           0.0095241,             0.99607,             0.98969,              0.9939,             0.86095,            0.024971,            0.018041,           0.0088182,            0.004159,            0.004159,            0.004159
                  61,            0.026706,            0.019536,           0.0095821,              0.9964,             0.98818,             0.99431,             0.85844,            0.025004,            0.017854,           0.0087603,             0.00406,             0.00406,             0.00406
                  62,            0.026349,             0.01959,           0.0095052,             0.99709,             0.98972,             0.99447,             0.86306,            0.024858,            0.017862,           0.0087172,            0.003961,            0.003961,            0.003961
                  63,            0.026359,             0.01941,           0.0093798,             0.99662,              0.9832,             0.99394,             0.86545,            0.024634,            0.017841,            0.008714,            0.003862,            0.003862,            0.003862
                  64,            0.026064,             0.01975,           0.0094026,             0.99578,             0.98555,             0.99426,             0.86546,            0.024866,            0.018254,           0.0086898,            0.003763,            0.003763,            0.003763
                  65,             0.02589,            0.019669,           0.0092882,             0.99666,             0.98525,             0.99444,             0.85625,            0.025171,            0.018122,           0.0087122,            0.003664,            0.003664,            0.003664
                  66,            0.025921,            0.019148,           0.0095148,             0.99699,              0.9836,             0.99408,             0.87085,            0.024065,            0.017337,            0.008655,            0.003565,            0.003565,            0.003565
                  67,            0.025629,            0.019035,           0.0094696,             0.99707,             0.98316,              0.9939,             0.86427,            0.024303,            0.018034,           0.0087148,            0.003466,            0.003466,            0.003466
                  68,            0.025478,            0.019159,           0.0093263,              0.9958,             0.98449,             0.99394,              0.8529,            0.025353,             0.01884,           0.0087599,            0.003367,            0.003367,            0.003367
                  69,            0.025913,            0.019258,           0.0094499,             0.99581,              0.9869,             0.99412,             0.86771,             0.02394,            0.018167,           0.0087217,            0.003268,            0.003268,            0.003268
                  70,            0.025817,            0.019043,           0.0094422,              0.9956,             0.98672,             0.99396,             0.85867,            0.024637,            0.018677,              0.0088,            0.003169,            0.003169,            0.003169
